layer_count,layer_size,optimizer_index,loss,categorical_acc,val_loss,val_categorical_acc
5,512,0,0.3343105912208557,0.9065454006195068,0.3347274661064148,0.9064655900001526
5,512,1,0.332110196352005,0.9065181612968445,0.3290906548500061,0.9064938426017761
5,512,2,0.33148640394210815,0.906493067741394,0.3296020030975342,0.9064948558807373
5,1024,0,0.33482810854911804,0.9065418839454651,0.3366476893424988,0.9064987897872925
5,1024,1,0.33472391963005066,0.9065205454826355,0.3293803930282593,0.9064818620681763
5,1024,2,0.3314848244190216,0.9065166711807251,0.329321026802063,0.906499445438385
6,512,0,0.333128422498703,0.9065490961074829,0.33558911085128784,0.9056947827339172
6,512,1,0.3322446942329407,0.906514048576355,0.32938021421432495,0.906491756439209
6,512,2,0.3329528570175171,0.9064950346946716,0.32964664697647095,0.9064694046974182
6,1024,0,0.3334493041038513,0.906536877155304,0.33572256565093994,0.9064981341362
6,1024,1,0.3323231637477875,0.9065184593200684,0.32916954159736633,0.9064909219741821
6,1024,2,0.3314986824989319,0.9064969420433044,0.32936012744903564,0.906491756439209
7,512,0,0.33253392577171326,0.9065669178962708,0.3344151973724365,0.9058846235275269
7,512,1,0.33154353499412537,0.9065133333206177,0.32917213439941406,0.9064962267875671
7,512,2,0.331289678812027,0.906514048576355,0.3296836316585541,0.906500518321991
7,1024,0,0.333154559135437,0.9065456986427307,0.33819058537483215,0.9050643444061279
7,1024,1,0.33305561542510986,0.9065355658531189,0.32947781682014465,0.9064483642578125
7,1024,2,0.333261102437973,0.9065029621124268,0.32943886518478394,0.9064881801605225
