replay_idx,username,beatmap_name,mod_str,nm_stars,count_300,count_100,count_50,count_miss,likelihood
0,Accolibed,VINXIS - Sidetracked Day [Infinity Inside],HDDT,6.826959658617009,1608,84,0,0,87.83090901688607
1,Accolibed,DragonForce - Valley of the Damned [Apocalypse],DT,6.15556253213743,2126,22,0,0,148.1376025520999
3,Accolibed,Xi - Shoujo Kisoukyoku ~ Speed Battle [Extra Stage],HDDT,6.0060237499856495,1258,49,0,0,93.34186786453093
4,Accolibed,Apocalyptica - Reign of Fear [VI],DT,6.234474050379725,1503,82,1,1,124.20452206145319
5,aetrna,xi - Ascension to Heaven [Death],HDDTHR,5.783212956609665,805,46,0,0,98.73370291104595
6,aetrna,07th Expansion - rog-unlimitation [AngelHoney],HDDTHR,6.118187281813472,561,48,0,0,78.94819673711574
7,aetrna,Mage - The Words I Never Said [Regret],HDDT,5.753690977912469,1713,29,0,0,92.28868965177428
8,aetrna,yuikonnu - Chikyuu Saigo no Kokuhaku o [Longing],HDDT,5.784914626961346,1110,7,0,0,80.69175848843818
9,aetrna,44teru-k - F.I [Insane],HDDTHR,5.2694574975269655,647,20,0,0,63.131291135808134
10,Benthonic,Charlie Clouser - Hello Zepp [Twist],HDDT,4.619498868346137,399,4,0,0,23.511572636872035
11,Benthonic,Bruno Mars - Marry You [Insane],HDDT,3.810628356675648,762,0,0,0,30.86945076028659
12,BlackDog5,Bliitzit - Team Magma & Aqua Leader Battle Theme (Unofficial) [Catastrophe],HDDTHR,6.413247155083175,308,8,0,0,23.5032276452714
13,BlackDog5,SPYAIR - Imagination (TV Size) [Ambition],HDDTHR,6.54533179531643,325,8,0,0,23.995806172739755
14,BlackDog5,Nogizaka46 - Yubi Bouenkyou (TV Size) [Fate],HDNCHR,6.51284444515977,330,7,0,0,25.452262288141647
15,BlackDog5,Yamajet feat. Hiura Masako - Sunglow [Harmony],HDDT,6.240666656709768,1153,3,0,0,40.24457584405058
16,BlackDog5,Release Hallucination - Chronostasis [A Brilliant Petal Frozen in an Everlasting Moment],HR,8.82397578927547,2663,26,0,2,81.0996779063583
17,Chicony,Yuaru - Asu no Yozora Shoukaihan [Sky Arrow],HDDT,6.124384974284987,902,7,2,0,72.9293901561712
18,Chicony,Kano - Stella-rium (Asterisk MAKINA Remix) [Starlight],DT,6.0565574778888145,1581,16,1,2,79.05750141308002
19,Chicony,Nekomata Master+ - encounter [Kotori's Extreme],HDDT,5.906863331280942,667,42,1,1,85.85032825487369
20,Chicony,positive MAD-crew - Mynarco [Withdrawals],HDDT,6.017460103820915,656,24,0,0,75.92792463562833
21,Chicony,Kano - Prima Stella [Caged],HDDT,6.247207713706941,1198,18,0,0,65.48324855878533
22,chocomint,Demetori - Shinkou wa Hakanaki Ningen no Tame ni ~ Jehovah's YaHVeH [Camo & Winter's Extra Stage],HDHR,7.779938707614659,2485,14,0,2,78.23788269229054
23,chocomint,xi - FREEDOM DiVE [ENDLESS DiMENSiONS],HDHR,7.454186195308175,2001,6,0,2,66.24343854230958
24,chocomint,BABYMETAL - Arkadia [Fighting on the Road of Arkadia's Tragic Tale],HD,8.067626129110469,2275,5,0,0,80.78309854392859
26,chocomint,Release Hallucination - I.F. [My Loneliness Grows as the Moment of Farewell Surrounds Us],HD,7.690060818318684,2547,16,0,0,80.37307466126853
27,enri,Kano - Prima Stella [Caged],HDDT,6.247207713706941,1203,13,0,0,65.54801741881728
28,enri,Serenity - Lionheart [Expert],HDDTSD,5.709158922628413,1324,31,0,0,82.1829174213042
29,enri,ke-ji feat. Nanahira - Ange du Blanc Pur [Extra],HDNC,5.8361348280156475,1031,13,0,0,80.78158240707099
30,enri,KISIDA KYODAN & THE AKEBOSI ROCKETS - Shitteru? Madousho wa Donki ni mo Naru no yo [shitteru?],HDDT,6.414639219593065,410,6,0,0,45.81715096920816
31,enri,Silver Forest - Yami no Mahou Shoujo [Extra],HDDT,5.672834386680964,777,24,0,0,98.18863268892952
32,epic gaming,VINXIS - Sidetracked Day (Short Ver.) [A r M i N's Extra],HDNCHR,5.55120420552228,586,15,0,0,51.68670942822034
33,epic gaming,Mutsuhiko Izumi - Snow Goose [Extra],HDNCHRSO,5.7307517369258125,623,33,2,0,75.48055599284147
34,epic gaming,Silver Forest - Yami no Mahou Shoujo [Extra],HDDT,5.672834386680964,786,14,0,1,98.5386110167717
35,epic gaming,THE ORAL CIGARETTES - 5150 [Sotarks' Cataclysm],HDNC,6.575078620333015,502,10,0,0,59.421305785898824
36,epic gaming,OxT - Clattanoia (TV Size) [KUKI'S EXTREME],HDDT,6.552007233198205,420,10,1,0,57.196111511075
37,-Flary,Twilight Force - Dawn of the Dragonstar [Maki's Expert],HDNC,5.81373895249315,1538,25,0,0,81.88604440227914
38,-Flary,Leah Kate - 10 Things I Hate About You (Sped Up & Cut Ver.) [Mommy Issues],HDDTHR,5.964468509493666,448,23,0,0,57.45617635846604
39,-Flary,Fellowship - Glory Days [Maki's Extra],HDNC,5.634296851954216,1644,32,0,0,82.2161616806136
