replay_idx,beatmap_name,mod_str,nm_stars,neg_loglik_FC,neg_loglik_SS_given_FC
52,Inferi - Those Who from the Heavens Came [Fengshen Yanyi],EZDT,7.720248694,87.80913747,133.5049605
913,xi - FREEDOM DiVE [Arles],NF,9.700611217,85.68041548,94.2760246
70,va - jump pack [A FOOL MOON NIGHT],NF,10.08416527,78.05168506,38.36712354
408,odaxelagnia - nicololi [for weak CS3 HP2],NM,9.146768408,74.46752195,34.58689039
68,umu. - humanly [facade],NM,8.941362888,67.61118734,33.6608678
354,"Virtuanoise, Cosmo, Arcek & Zigurat - 4 Aliens At Work [CM vs. N vs. NB vs. T : Fourth day nonstop working in demand]",NM,7.885682284,66.78970905,74.49098561
617,Camellia feat. Nanahira - Kizuitara Shunkashuutou [Seasons],HDNF,9.55096195,65.12907821,66.30457779
64,Kobaryo - Tool-Assisted Speedcore (TQBF Frame Advance RMX) [Delete The World],NF,8.064830773,60.51945585,54.63064653
527,Kobaryo - Tool-Assisted Speedcore (TQBF Frame Advance RMX) [Delete The World],NM,8.064830773,60.51945585,54.63064653
875,Various Artists - Julaaaan's Triangle Jump Training 2 [On My Own],NM,8.807588233,59.19336719,36.66945089
122,Ariabl'eyeS - Reincarnation [Suffering],NM,9.621411566,58.98978101,35.38203877
330,DragonForce - Scars of Yesterday [Waste of Time],EZ,7.418589138,58.27135047,85.04013652
448,P4koo - Enka - flameflower [Fatal -Last-],NF,10.24662598,57.66136366,34.46157869
539,Imagine Dragons - Warriors [1000lp challenger],HDDTNF,8.323390052,56.2177841,49.46898943
940,Teminite & Panda Eyes - Highscore [extrad1881 (ar 10)],NM,8.335858265,53.71504276,25.32148481
130,Mrs. GREEN APPLE - Ao to Natsu (katagiri Bootleg) (Sped Up Ver.) [Summer],NM,9.217350507,51.97158085,43.15026403
796,Laur - Sound Chimera [Chimera],NM,8.208373552,51.75046382,67.61401673
167,HitoshizukuP x Yama - Crazy nighT [EnD],HDNF,8.553634842,50.2024054,29.84270764
602,shikata akiko - Katayoku no tori [Arles],NF,8.560100841,49.72374131,45.82653597
370,PinocchioP - sukisukisukisukisukisukisukisukisukisuki [LESS THAN THREE DIMENSIONS],NF,8.19664622,49.53633303,64.9433489
889,a_hisa - Logical Stimulus [owo],NF,8.125618321,49.2233551,79.21684878
942,F-777 - Space Battle [cs 4 lo],NM,7.900571651,49.16016548,64.50077366
243,Carlito - Poco Loco [pinata why u explode],NM,8.380468631,49.04672149,30.73065394
268,Ata - Euphoria [Ultimate Power],HD,8.459031952,47.07225112,60.21243865
180,"Nanahoshi Kangengakudan - Rubik's Cube [43,252,003,274,489,856,000]",NM,8.052040035,46.77600886,48.98099842
692,Fanatic - Seishoujo Syndrome [mega kolab],NM,9.249203405,46.46155505,62.19880855
349,Panda Eyes & Teminite - Highscore [Game Over],HDDTNF,7.334755293,45.54970163,38.24085822
16,Popek - Rhythmic Collapse [Rhytmusstorung],NM,7.460353472,44.28459893,75.62867425
542,Chikamori Kayako - Kigurumi Sungeki [La~ La La ~~ La La La. La. La.],NM,7.796994438,44.10337982,37.46542903
238,DJ OKAWARI - Flower Dance [Titania 9.7],NM,7.816623356,43.5345598,36.32183254
415,DJ OKAWARI - Flower Dance [Titania 9.7],NM,7.816623356,43.5345598,36.32183254
688,"Imperial Circus Dead Decadence - Yomi yori Kikoyu, Koukoku no Tou to Honoo no Shoujo. [Kurushimi]",NM,8.22540176,43.16706169,74.82228667
753,"Imperial Circus Dead Decadence - Yomi yori Kikoyu, Koukoku no Tou to Honoo no Shoujo. [Kurushimi]",NM,8.22540176,43.16706169,74.82228667
569,Release Hallucination - Chronostasis [A Brilliant Petal Frozen in an Everlasting Moment],NM,8.824001364,42.0352403,65.98668936
38,DECO*27 - Ghost Rule [No One But CRN !!],NM,8.010053647,41.88891459,26.46377851
546,FLOOR BABA - WIGGLE CORE [TAP],NM,6.613191615,41.86888721,46.64601243
588,goreshit - MATZcore [Lolicore],DT,6.341357636,41.48307585,131.6992737
229,DJ OKAWARI - Flower Dance [Titania NC 9.8],HDNF,7.960868559,41.4532492,46.93589234
75,Aqua - Barbie girl [Ultimate Cancer],NM,9.230689521,41.12795244,26.31994587
282,Ne Obliviscaris - Libera [Lachesismic Armageddon],NM,8.139245487,40.31392791,100.0756605
