beatmap_name,mods,stars_live,neg_loglik_SS
e-ZUKA - Assailant in the Night [a],NM,8.256208793008822,72.44524597064277
Various Artist - Oriental's Long Stream Practice & Training Maps 4 [BPM245 Invisible Frenzy],NM,6.309763467215857,70.0856821637419
REDALiCE - Great nano desu [Insane],NM,5.252775982693233,70.03554509047981
Various Artist - Long Stream Practice Maps [Ai no Niwa BPM120],NF,3.2945251189356783,69.39145269408513
Various Artist - Oriental's Long Stream Practice & Training Maps [BPM176 Hana Kagerou],NM,4.568090210804634,69.38480810455553
Nekrogoblikon - The Skin Thief [Murder],NM,7.071174752286067,69.30557893099959
GYZE - HONESTY [DISHONEST],NM,7.114507345131963,63.22377782921162
Nanahoshi Kangengakudan - Rubik's Cube [Chaos's Expert],NM,5.464273408129917,62.39161533457105
isoganakya - isogu (Stream Practice Maps) [300BPM],NM,7.451978653809009,59.70282625027493
technoplanet - Juvenile [Ataraxis],NM,7.577033102819186,58.66452460535556
Ne Obliviscaris - Libera [Lachesismic Armageddon],NM,8.139245487437817,58.54058840140057
Ne Obliviscaris - Painters GAMMA [240 BPM],HD,6.571924214583142,57.47878269203748
"Nanahoshi Kangengakudan - Rubik's Cube [43,252,003,274,489,856,000]",NM,8.052040035448307,57.050536043441156
Mage - The Words I Never Said [Affliction],NM,5.5075121829157565,56.54672611499862
Release Hallucination - Chronostasis [A Brilliant Petal Frozen in an Everlasting Moment],NM,8.82400136429675,56.0099484995398
Multiple Artists - thing [lol 235],HD,6.8005630136171416,55.844071822028305
K A Z M A S A - Bon Appetit S (Oldskool HappyHardcore Remix) (Short Ver.) [blend s (220 bpm)],NM,7.274582525653357,55.742775833416886
xi - FREEDOM DiVE [FOUR DIMENSIONS BPM180],NM,5.808355894956282,55.46921143528198
a_hisa - Logical Stimulus [owo],NF,8.125618321368776,55.287676703369236
Unknown Artist - LEGIA TO CHUJE [Ultimate 2021: Speed],NM,6.695980383220719,55.02223792351073
odaxelagnia - nicololi [for weak CS3 HP2],NM,9.14676840788312,54.67658223314652
Void - Just Hold on (To All Fighters) [Beginning],NM,6.105086622017596,53.86875930302246
-45 - Mind of the Corpse [mario kart wii is better than osu],NF,6.88209681353676,53.09574097151422
sakuzyo - Imprinting [Ayaya's Expert],NM,5.670057468041824,52.94096773325873
xi - Blue Zenith (Cut Ver.) [TWO DIMENSIONS],NM,6.998108114395235,52.74406082650808
Serenity - Lionheart [Extreme],NM,6.442489525638989,52.73120190755262
xi - FREEDOM DiVE [ENDLESS DiMENSiONS],NM,7.455631271432983,52.63710060033355
Serenity - Lionheart [Extreme],HD,6.442489525638989,52.25829034838103
qfeileadh - breathe [Extreme],NM,5.711503904923239,51.90205165519748
K A Z M A S A - Bon Appetit S (Oldskool HappyHardcore Remix) (Short Ver.) [blend s],NM,5.780178257858006,51.665425370677184
Mage - The Words I Never Said [Regret],NM,5.753690998545622,51.50077241054756
Mage - The Words I Never Said [Regret],NF,5.753690998545622,51.50077241054756
Silvia - Vertex Gamma [GAMMA],NM,7.887110117278187,51.47319682739129
Silvia - Vertex Gamma [GAMMA],NF,7.887110117278187,51.47319682739129
Chikamori Kayako - Kigurumi Sungeki [La~ La La ~~ La La La. La. La.],NM,7.796994437900775,50.99723152442234
beatMARIO - Night of Knights [SOLO],FL,4.826753071421301,50.744933921913315
Silvia - Vertex Delta [DELTA],NM,7.2169975458847695,50.38311173696202
xi - FREEDOM DiVE [Arles],NF,9.700611216692344,49.92315336664111
Fellowship - Glory Days [Relentless Heartache],NM,7.440694505672509,49.787820497168255
Jun.A - The Refrain of the Lovely Great War [SOLO],HDNF,5.365904850075618,49.753513643700735
Feint - Tower Of Heaven (You Are Slaves) [Extra],NM,5.087090001512409,49.334492169366655
07th Expansion - rog-unlimitation [AngelHoney],HD,6.11830789560834,48.549799338199335
II-L - SPUTNIK-3 [Beyond OWC],NM,6.187928557686603,48.47795818128277
Apocalyptica - Reign of Fear [VI],HD,6.237214053476766,48.31576865752438
9mm Parabellum Bullet - Inferno [Tortured Soul Extra],NM,6.66107865644096,48.00779250898847
xi remixed by cosMo@bousouP - FREEDOM DiVE [METAL DIMENSIONS] [Extra],NM,6.576439791591816,47.669834096440056
UNDEAD CORPORATION - Everything will freeze [Extra],NM,6.692138142219338,47.62959704614801
Yuyoyuppe - -ELIS- [Extreme],HD,6.423238509697946,47.550360060237075
Saint Snow - DROPOUT!? [Kowari's Extra],NM,5.802104861869131,46.62890524060059
xi - Ascension to Heaven [Extra],NM,5.638513605330002,46.39928752730397
va - jump pack [A FOOL MOON NIGHT],NF,10.084165271063858,45.976879482493125
Imperial Circus Dead Decadence - Danzai No Honoo To Koibito-Tachi No Rondo [Someday they will meet each other again],NM,7.038805852897091,45.91091139471281
"Wizet, Nexon - Various BGM [Glacier Adventure]",HD,4.509083646484382,45.87011591828258
Kondo Koji - Slider [64 DIMENSIONS],NM,6.984579506030912,45.85897600025834
PinocchioP - sukisukisukisukisukisukisukisukisukisuki [LESS THAN THREE DIMENSIONS],NF,8.196646220217653,45.58141115579304
LeaF - Calamity Fortune [Extra],HDFL,5.7905637534367695,45.36652944199664
"Imperial Circus Dead Decadence - Yomi yori Kikoyu, Koukoku no Tou to Honoo no Shoujo. [Kurushimi]",NM,8.22540175961293,44.87856769484036
HitoshizukuP x Yama - Crazy nighT [EnD],HDNF,8.553634842059086,44.81117740405102
HyuN - Tokyo's Starlight [Collab Insane],HD,4.745607045413487,44.63204898310519
xi - Garyou Tensei [Hello],NM,6.772852515074356,44.14784865290295
455-38B - G e n g a o z o - f o o n [Insane],HD,4.025744553882307,43.919454444333255
Tyrfing - Verflucht [Another],HD,5.856943221008012,43.64589260241799
