beatmap_name,mods,stars_live,neg_loglik_SS
Various Artist - Oriental's Long Stream Practice & Training Maps [BPM176 Hana Kagerou],NM,4.568090210804634,99.9622016090955
Various Artist - Oriental's Long Stream Practice & Training Maps 4 [BPM245 Invisible Frenzy],NM,6.309763467215857,96.80148076719146
e-ZUKA - Assailant in the Night [a],NM,8.256208793008822,90.42937504743173
Various Artist - Long Stream Practice Maps [Ai no Niwa BPM120],NF,3.2945251189356783,89.50052239075217
REDALiCE - Great nano desu [Insane],NM,5.252775982693233,88.56836712881116
Nekrogoblikon - The Skin Thief [Murder],NM,7.071174752286067,83.19362134426699
Ne Obliviscaris - Painters GAMMA [240 BPM],HD,6.571924214583142,75.64139106390522
Nanahoshi Kangengakudan - Rubik's Cube [Chaos's Expert],NM,5.464273408129917,74.11635435970194
Unknown Artist - LEGIA TO CHUJE [Ultimate 2021: Speed],NM,6.695980383220719,73.77805279343809
isoganakya - isogu (Stream Practice Maps) [300BPM],NM,7.451978653809009,73.60026049929613
Ne Obliviscaris - Libera [Lachesismic Armageddon],NM,8.139245487437817,71.30768786323188
Mage - The Words I Never Said [Affliction],NM,5.5075121829157565,69.06078992418882
K A Z M A S A - Bon Appetit S (Oldskool HappyHardcore Remix) (Short Ver.) [blend s (220 bpm)],NM,7.274582525653357,67.07006336063172
GYZE - HONESTY [DISHONEST],NM,7.114507345131963,66.47028838311016
Silvia - Vertex Gamma [GAMMA],NF,7.887110117278187,65.95677625429164
Silvia - Vertex Gamma [GAMMA],NM,7.887110117278187,65.95677625429164
Multiple Artists - thing [lol 235],HD,6.8005630136171416,65.94227430418397
-45 - Mind of the Corpse [mario kart wii is better than osu],NF,6.88209681353676,65.47273621865898
Silvia - Vertex Delta [DELTA],NM,7.2169975458847695,65.11012256997037
Mage - The Words I Never Said [Regret],NM,5.753690998545622,64.2503698077103
Mage - The Words I Never Said [Regret],NF,5.753690998545622,64.2503698077103
K A Z M A S A - Bon Appetit S (Oldskool HappyHardcore Remix) (Short Ver.) [blend s],NM,5.780178257858006,64.21186560740689
Feint - Tower Of Heaven (You Are Slaves) [Extra],NM,5.087090001512409,63.98804713836854
Void - Just Hold on (To All Fighters) [Beginning],NM,6.105086622017596,62.1542053141996
sakuzyo - Imprinting [Ayaya's Expert],NM,5.670057468041824,62.04032674415233
xi - FREEDOM DiVE [FOUR DIMENSIONS BPM180],NM,5.808355894956282,61.53917791644189
Serenity - Lionheart [Extreme],NM,6.442489525638989,60.78090226000955
Serenity - Lionheart [Extreme],HD,6.442489525638989,59.84066652270001
technoplanet - Juvenile [Ataraxis],NM,7.577033102819186,59.629235286314504
07th Expansion - rog-unlimitation [AngelHoney],HD,6.11830789560834,59.31423129491748
xi - Ascension to Heaven [Extra],NM,5.638513605330002,58.31635494497998
Release Hallucination - Chronostasis [A Brilliant Petal Frozen in an Everlasting Moment],NM,8.82400136429675,58.121709225487976
UNDEAD CORPORATION - Everything will freeze [Extra],NM,6.692138142219338,58.099845443979476
Jun.A - The Refrain of the Lovely Great War [SOLO],HDNF,5.365904850075618,57.954854700997366
qfeileadh - breathe [Extreme],NM,5.711503904923239,57.79960739268891
beatMARIO - Night of Knights [SOLO],FL,4.826753071421301,56.95724683969009
Apocalyptica - Reign of Fear [VI],HD,6.237214053476766,55.92639292173237
xi remixed by cosMo@bousouP - FREEDOM DiVE [METAL DIMENSIONS] [Extra],NM,6.576439791591816,55.39432199859414
a_hisa - Logical Stimulus [owo],NF,8.125618321368776,54.97351742865818
9mm Parabellum Bullet - Inferno [Tortured Soul Extra],NM,6.66107865644096,54.62326282271401
Fellowship - Glory Days [Relentless Heartache],NM,7.440694505672509,54.474065795789414
II-L - SPUTNIK-3 [Beyond OWC],NM,6.187928557686603,54.41859078781418
"Nanahoshi Kangengakudan - Rubik's Cube [43,252,003,274,489,856,000]",NM,8.052040035448307,53.9816510123245
455-38B - G e n g a o z o - f o o n [Insane],HD,4.025744553882307,53.94994462746276
xi - FREEDOM DiVE [ENDLESS DiMENSiONS],NM,7.455631271432983,53.942945207498
Saint Snow - DROPOUT!? [Kowari's Extra],NM,5.802104861869131,53.626132865708996
HyuN - Tokyo's Starlight [Collab Insane],HD,4.745607045413487,53.09740812055256
44teru-k - F.I [Extra445],NM,5.111725551332444,52.9833016956027
LeaF - Calamity Fortune [Extra],HDFL,5.7905637534367695,52.84526757890265
"Wizet, Nexon - Various BGM [Glacier Adventure]",HD,4.509083646484382,52.558976786499436
Demetori - Seijouki no Pierrot ~ The MadPiero Laughs [Stage 5],NM,6.255748069198596,52.16661477443201
Tyrfing - Verflucht [Another],HD,5.856943221008012,51.386129213673726
Kyary Pamyu Pamyu - Furisodation (DJ HKT's bootleg MIX) [Drunk on Love],NM,5.6610775499647765,51.2232311603605
Ice Nine Kills - IT Is The End [Mimari's Extra],NM,5.738198926701482,51.17458516987934
