replay_idx,beatmap_name,mod_str,nm_stars,num_objects,neg_loglik_SS,neg_loglik_S,neg_loglik_FC
0,ZYTOKINE - Dancing Dollz feat. cold kiss - REDALiCE Remix [Extra],HD,5.378838080776566,1050,88.97976868226144,23.487670523461478,18.054856595691497
1,ayase rie - yuima-ru*world [Real's Insane],HD,4.3500049935773095,459,30.33171922814417,6.440426330843601,4.7318209488753284
2,Sunless Rise - Awakening [Untruth],NM,7.132570969348935,2313,425.421127876703,140.00753698702334,95.04120597568486
3,Masatoshi Ono - departure! (TV Size) [Insane],HD,3.917636277139162,215,14.210988616410859,2.9262729981401643,2.0016945814565146
4,3aP9DKu_HayWHuku - no_100_Pu6Jleu [HayWHuku],NM,6.74610511110592,75,12.77678834382691,7.486728737834104,7.3210963605026045
5,xi - Garyou Tensei [AngelHoney],HDV2,4.977903680729503,511,58.44212476297802,20.007056300788793,15.36625179639955
6,07th Expansion - rog-limitation [Hard],DT,3.2459705008051523,347,25.03640617313003,7.351132787881118,5.614882981124086
7,Ray - km/h (TV Size) [Gotta Go Fast!],NM,6.467316461886227,375,27.870948623015185,9.60207664196504,8.659956143606472
8,senya - Saihate no Kotoba [Ghostly],HDDT,4.405434926881876,1274,86.6477210698921,20.40838547451007,15.157525053280303
9,m1v - you [insane],NM,4.299809195062088,232,10.127646288564218,3.0901232929591957,2.817217933119394
10,TRUE - Soundscape [Skybleru's Hard],HDDT,3.553152404908584,855,39.86638943441838,12.322536044138195,10.774261383643024
11,Fellowship - Glory Days [Relentless Heartache],NM,7.440694505672509,2104,351.067456377187,97.74910174078956,68.75174057350698
12,Geri Halliwell - It's Raining Men [HP's Slip 'n Slide Mishap],NM,4.187495281240802,1073,91.35545043611289,20.02451369182674,13.482824661928973
13,DystopiaGround - AugoEidEs [oyasumi],HD,7.221914157087275,1666,145.44637130123917,54.25251483865684,47.01719400442855
14,:)  feat. KAFU - Egonomy [fleX],NM,6.59679785643529,596,82.12276694981615,41.29413238260148,37.608333184008146
15,UROBOROS - Black Swallowtail (TV Size) [Flezlin's Extra],NM,6.290803137541907,434,50.014978134446565,15.814734245732376,11.69846729426405
16,Popek - Rhythmic Collapse [Rhytmusstorung],NM,7.460353471999598,2539,499.8353393692786,166.08800749202683,118.70859073388985
17,Project Grimoire - Caliburne ~Story of the Legendary sword~ [Extra],HD,5.812359430586006,587,54.918417068335174,13.306998159862738,9.458346524365854
18,Soushi Sakiyama - Uso Janai [Normal],HDDTHRSD,2.159150797726815,468,24.546267243095897,5.16346058632467,3.9927318352140153
19,Bliitzit - Team Magma & Aqua Leader Battle Theme (Unofficial) [Catastrophe],HD,6.413248499271901,307,17.935061016650895,8.029414602699275,7.750656519550721
20,RD-Sounds feat. Meramipop/nayuta - Shiten [Collab Extra Stage],HR,5.2172098223311085,1942,176.61674177390057,32.40019442881049,21.68275721709515
21,sumika - Fiction (TV Size) [Normal],NM,1.802802196874712,131,11.61668014303375,3.4979213556119504,2.634423237281104
22,Imperial Circus Dead Decadence - Uta [Collab],NM,5.093824903114868,1867,161.26407157306292,40.54048979937388,28.75463014436846
23,Suzuki Konomi - Realize (TV Size) [Grasp of the Undying],NM,6.303162442349645,349,21.26604131434542,7.940500944483964,7.357353232449538
24,t+pazolite - Oshama Scramble! (IOException Edit) [Special],NM,6.583587399492515,745,85.8047296215736,46.697214124501585,42.67422881566491
25,Breaking Benjamin - Breath [Extra],NM,5.272865847352444,529,36.57456171635823,8.442108869227374,6.787561808461064
26,FELT - New World [Illusion],HR,6.022142941786834,1156,91.49098721741817,20.498556557316732,15.380580886681074
27,Brian The Sun - Lonely Go but too many LONELYS [LONELY LONELY LONELY GO],HDNCNF,7.164170212537918,459,32.372094482125966,11.335263856395532,10.342826154665609
28,DM DOKURO - SAVE (Encore) [Fatfan's Expert],NM,4.998148762685445,297,12.3529470781493,3.9885129852732035,3.7012034711336432
29,ClariS - SHIORI -TV size mix- [Habi's Extra],NM,5.16378423609836,341,18.859799601734455,5.649050730625913,5.100232879575493
30,Gom (HoneyWorks) - Zen Zen Zense [Normal],HR,2.1839306237583798,56,2.1607767431594254,0.6070776828360676,0.5390669279439694
31,cinnamons x evening cinema - summertime [plaudible's hard],DT,3.085419153462456,461,22.113314990187547,4.882317647087692,3.905808766926136
32,Demetori - Songs Compilation [Marathon],DT,4.830476373449198,3148,337.3337829768683,100.20009595623267,72.9358136045286
33,Digital Sexy - Til Death (Nightcore Mix) [Taeyang's Expert],HDDT,5.102735675592763,354,17.931220856838966,6.991698476481851,6.2702706212797805
34,DECO*27 - First Storm feat. Hatsune Miku [my Drops of Tears I'll turn to Sparks of Fire],NM,6.656586255846911,1007,97.93989602021011,25.29957945157848,18.282119929695142
36,44teru-k - F.I [Extra445],NM,5.1117255513324436,653,100.0168051360272,25.567345287157146,15.1231975915543
37,TUYU - Namikare [Withering Tears],NM,6.976028127384328,1258,107.25104690735172,38.61755130152421,33.611503427164166
38,DECO*27 - Ghost Rule [No One But CRN !!],NM,8.010053647024229,775,94.68103277764969,56.57492137217999,54.879651088300065
