beatmap_name,mods,stars_live,neg_loglik_SS,neg_loglik_300s_and_100s,neg_loglik_FC
odaxelagnia - nicololi [for weak CS3 HP2],NM,9.146768408,85.31455798,55.15655324,54.14400035
va - jump pack [A FOOL MOON NIGHT],NF,10.08416527,77.10856639,47.22992737,45.78478195
umu. - humanly [facade],NM,8.941362888,64.95376566,41.09108978,40.19930463
xi - FREEDOM DiVE [Arles],NF,9.700611217,87.73404848,44.1187239,37.68365711
Various Artists - Julaaaan's Triangle Jump Training 2 [On My Own],NM,8.807588233,67.35955284,38.29269479,36.805082
Kobaryo - Tool-Assisted Speedcore (TQBF Frame Advance RMX) [Delete The World],NM,8.064830773,57.08187458,38.04659442,36.33099803
Kobaryo - Tool-Assisted Speedcore (TQBF Frame Advance RMX) [Delete The World],NF,8.064830773,57.08187458,38.04659442,36.33099803
Camellia feat. Nanahira - Kizuitara Shunkashuutou [Seasons],HDNF,9.55096195,63.69181329,37.41526461,35.22831045
Sellouts - Spotify Ads [AWESOME SCREEN AWESOME CAMERA LONG LASTING BATTERY LIFE],NM,8.597131571,47.40839562,30.68719189,29.83080119
HitoshizukuP x Yama - Crazy nighT [EnD],HDNF,8.553634842,51.97532575,30.58711224,29.34423322
shikata akiko - Katayoku no tori [Arles],NF,8.560100841,53.1453672,31.07693282,29.0585826
Carlito - Poco Loco [pinata why u explode],NM,8.380468631,48.89747027,29.39622684,28.67182794
Chikamori Kayako - Kigurumi Sungeki [La~ La La ~~ La La La. La. La.],NM,7.796994438,53.69121219,29.68730426,27.92756641
a_hisa - Logical Stimulus [owo],NF,8.125618321,73.92967769,32.36164498,27.14018965
Mrs. GREEN APPLE - Ao to Natsu (katagiri Bootleg) (Sped Up Ver.) [Summer],NM,9.217350507,48.00523586,28.18835317,26.9472598
F-777 - Space Battle [cs 4 lo],NM,7.900571651,65.38164542,30.73470198,26.50206765
Watashi (CV: Yuuki Aoi) - Ganbare! Kumoko-san no Thema (TV Size) [Ultra: Arachne],NM,7.733925907,53.28519574,28.8909496,26.41170005
"Nanahoshi Kangengakudan - Rubik's Cube [43,252,003,274,489,856,000]",NM,8.052040035,73.58243397,31.49802882,26.33554369
Aqua - Barbie girl [Ultimate Cancer],NM,9.230689521,43.64794534,26.09065875,25.35292594
DJ OKAWARI - Flower Dance [Titania 9.7],NM,7.816623356,47.27798895,26.457995,25.2484665
DJ OKAWARI - Flower Dance [Titania 9.7],NM,7.816623356,47.27798895,26.457995,25.2484665
Ariabl'eyeS - Reincarnation [Suffering],NM,9.621411566,38.84138352,25.03384637,24.48428976
NOA - Monsters [<>],NM,7.997461658,50.80162621,24.60573706,23.20735222
penoreri - Preserved Valkyria [Arles],NM,8.455072694,44.72952036,24.65617693,22.87110806
Camellia - We Could Get More Machinegun Psystyle! (And More Genre Switches) [Frick],NM,6.776204952,37.71054784,23.64374172,22.33765552
xi - FREEDOM DiVE [ENDLESS DiMENSiONS],NM,7.455631271,70.56551172,28.83903622,22.25928536
DECO*27 - Ghost Rule [No One But CRN !!],NM,8.010053647,38.47100357,22.52188997,21.88080326
PinocchioP - sukisukisukisukisukisukisukisukisukisuki [LESS THAN THREE DIMENSIONS],NF,8.19664622,60.54141513,25.91261808,21.65902934
Kabocha - EmbryO [Heilia's Ultra],NM,7.50954559,53.07329582,24.6240691,20.91483139
Linkin Park - Breaking The Habit [turbo kolab],NM,7.643965386,39.18469777,21.76173602,20.90775949
Linkin Park - Breaking The Habit [turbo kolab],NM,7.643965386,39.18469777,21.76173602,20.90775949
Ata - Euphoria [Ultimate Power],HD,8.459031952,52.49689102,23.09077304,19.63182559
xi - Blue Zenith (Cut Ver.) [TWO DIMENSIONS],NM,6.998108114,60.64770539,24.25339346,19.60804733
Fanatic - Seishoujo Syndrome [mega kolab],NM,9.249203405,47.70069991,23.37600058,19.44995468
Charlie Darker & Far Too Loud - Nail Gun (Short ver.) [CIDOR Diff EzRX],NM,7.908704834,42.8730681,20.16012676,18.92559303
Niji No Conquistador - zutto summer de koishiteru [Summer is only beginning],NM,8.567506902,36.83867609,19.74484856,18.68140425
MYUKKE. - NO ONE YES MAN [PEACE],NM,6.190749795,37.20556759,20.01295984,18.46156803
Kondo Koji - Slider [64 DIMENSIONS],NM,6.984579506,54.64996621,22.2400893,18.46073312
Imagine Dragons - Warriors [1000lp challenger],HDNF,8.323390052,42.87224824,20.68448343,18.33789994
John Newman - Love Me Again [Can you love me again?],NM,8.126157976,32.44421282,18.50666121,17.91895441
Yuaru - Asu no Yozora Shoukaihan (Speed Up Ver.) [Together],NM,8.226456986,46.15892616,20.53856354,17.697536
Kishida Kyoudan & The Akeboshi Rockets - HIGHSCHOOL OF THE DEAD (Speed Up Ver.) [Eternity],NM,8.136054161,39.62806005,19.22471256,17.69489341
Laur - Sound Chimera [Chimera],NM,8.208373552,35.16366856,19.0794756,17.68346533
t+pazolite - Oshama Scramble! (IOException Edit) [Special],NM,6.583587399,29.7639893,18.85617023,17.6747827
technoplanet - Juvenile [Ataraxis],NM,7.577033103,64.39481074,23.33678826,17.51837624
:)  feat. KAFU - Egonomy [fleX],NM,6.596797856,37.28118957,18.96338651,17.10854318
gmtn. (witch's slave) - Illegal Paradise [Slavery],NM,7.120851917,58.0490596,22.88403271,17.018983
DJ OKAWARI - Flower Dance [Titania NC 9.8],HDNF,7.960868559,44.68498361,18.92867865,16.62861388
II-L - VOSTOK-3 [Basic],NM,7.091104269,45.62877979,18.72764062,16.52432016
tokiwa yuu - shounen ripples [Arles],NM,8.111010138,43.12384354,18.73949738,16.52034603
Shimotsuki Haruka - Youka to Yumeutsutsu [Awaken AR10],NM,8.015816277,38.53105077,17.88298661,16.21582725
Sota Fujimori - polygon [Incrementally Hi-Speed Extreme],NM,6.716143249,45.38871307,19.36858516,16.20820208
HISATOMI - lullaby (feat. KIRA) (uet Remix) [one more before i go...],NF,7.017241634,34.66017053,18.02808739,16.19374768
e-ZUKA - Assailant in the Night [a],NM,8.256208793,174.5848824,54.83104467,16.05523032
Dancing Cats - Go Kitty Go! [lets go],NM,7.344162177,37.86340253,17.40996901,15.86783727
Halozy - Genryuu Kaiko [Higan Torrent],NM,6.76889282,47.13133001,19.07871901,15.77015567
Street - Dimension Ninja [Tech + Finger Control],HD,6.057313062,39.04847977,18.16985495,15.66587031
Fellowship - Glory Days [Relentless Heartache],NM,7.440694506,58.08280648,20.52735606,15.61623994
Release Hallucination - Chronostasis [A Brilliant Petal Frozen in an Everlasting Moment],NM,8.824001364,62.91687607,21.55233243,15.56990269
Araki - Chiisana Koi no Uta (Synth Rock Cover) [Together],NF,8.162949191,34.88421796,17.09630107,15.26637461
Teminite & Panda Eyes - Highscore [extrad1881 (ar 10)],NM,8.335858265,28.94369425,15.54514469,15.1530778
Nitta emi - Heart beat [Arles],NM,7.553343635,43.96185556,18.12293519,15.10752433
xi - Garyou Tensei [Hello],NM,6.772852515,51.02829531,18.71893377,14.96663433
Imperial Circus Dead Decadence - Danzai No Honoo To Koibito-Tachi No Rondo [Someday they will meet each other again],NM,7.038805853,50.75969266,18.62641492,14.81349798
