beatmap_name,mods,stars,pp_SS
DM DOKURO - SAVE (Encore) [browiec & Kuki's Insane],NM,4.246731298544543,20.617065486205437
positive MAD-crew - Mynarco [Withdrawals],HD,6.017462027694994,42.49132626709703
Various Artists - Sword Art Online Compilation [Full Dive],NM,5.480355871736565,25.693027279033835
fhana - Hello!My World!! [Insane],DT,4.315203074207506,24.525564415698497
Serenity - Lionheart [Extreme],NM,6.442489525638989,52.18207288293141
Getter Jaani - Rockefeller Street (Nightcore Mix) [MiracleE's Insane],HDNC,4.337952256360529,29.88767811303061
PSYQUI - Education [class is now in session.],HRNF,5.6432771056966935,30.46649328551991
SpaceRonin7 - Blue Bird [AOI AOI],HDHR,4.224944765268504,18.61479374335022
Will Stetson - Super Driver [Rolniczy's Extra],NM,5.572005953366661,26.479821311355394
Equilibrium - Waldschrein [Mein Land],NM,5.896995235581395,29.110749296864856
Seiryu - BLUE DRAGON [Kyshiro's Extra],NM,5.83704484707237,34.780116822558696
KASAI HARCORES - Cycle Hit [Home Run],NM,5.746726771457218,30.042638430834565
Kero Kero Bonito - Flamingo (WTN3 Remix) [Multi Color],NM,5.948608531482801,25.129148785713426
LiSA - Catch the Moment -Radio Edit ver.- [Lami's Extra],NM,6.035236324712207,28.35135952947268
Sound piercer feat. DAZBEE - Hanatachi ni Kibou o (2020 Remaster) [Log Off PikA's Insane],DT,4.499663598806185,26.963742311086754
Mitsukiyo - Unwelcome School [Cleaning & Clearing],NM,5.920501397153137,40.977026765267595
Kotoha - God-ish [Insane],NM,4.255697764612188,29.79476917061445
THE ORAL CIGARETTES - Mou Ii kai? [NiVo's Extra],HDNC,5.837338829344761,42.42359636439149
ryu5150 - Louder than steel [Onlybiscuit's Extra],NM,5.6546793108430045,39.46197407738582
POSHLAYA MOLLY - SHKOLA NE NUZHNA [Eiji's High School],NM,5.082916653674005,29.979769281794926
Yoshioka Kiyoe - DEKOBOKO (TV Size) [SupaV's Insane],NM,4.683305479074203,22.88863885244737
DJ Okawari - Flower Dance (Short Ver.) [Dance AR9.5],NM,6.013273900169961,38.399602250019925
DM DOKURO - SAVE (Encore) [Reform's Extra],DT,5.341759163776295,23.640298411538392
DECO*27 - Ghost Rule [N a s y a's Extra],NM,6.905636142080234,28.90197868339834
Ata - Euphoria [Ultimate Power],NM,8.459031951547505,45.882184597857886
Katagiri - Ch3rry [Zeeb gaming's Sakuranbo],NM,5.969467203414102,28.66934353569058
succducc - me & u [alphabet's hard],HDDT,3.3875808159260163,20.165110022304503
Team Nekokan - Can't Defeat Airman [Holy Shit! It's Airman!!],NM,7.028291067000708,35.862313112322184
Imperial Circus Dead Decadence - Chinurareta Shuren ni Fukeru Houmura [Desolate],NM,6.187651012583773,35.06333009385473
KISIDA KYODAN & THE AKEBOSI ROCKETS - Yume wa Jikuu o Koete [Phantasmagoria],HDDT,5.71416223533741,26.58724012332282
HitoshizukuP x Yama - Crazy nighT [Crazy],HD,5.532318688439034,24.265777869460027
CORO MACHIKADO - YOIKAGEN TETRAGON (TV Size) [pnky's Hard],HDHRFLSD,3.648867885556932,23.99429633075117
Uehara Ayumu (CV: Onishi Aguri) - Say Good-Bye Namida [1-2 Namida],NM,6.165440614960049,28.141813062729042
BABYMETAL - Gimme chocolate!! [EXPERT!!],HR,6.039364216990474,29.11724831067663
Hisatomi - Lullaby(uet Remix) [Insane],HD,6.528724113354898,26.336182056793977
ViViD - HIKARI (TV Size) [browiec's Wisdom],NM,6.319101905663862,24.373838295054522
YOASOBI - Yoru ni Kakeru [Moonlight Shadow],HDHR,5.993552100289951,32.55131559759889
"Ayane, Ruka, Rie / Karen from BEST FRIENDS! - In bloom [Dreams]",NM,5.669993739061391,33.50147064200826
Tadokoro Azusa - Storyteller [Reform's Extra],HR,5.403119855167083,30.258858455704218
DystopiaGround - AugoEidEs [oyasumi],NM,7.221914157087275,29.247182722227635
Feint - Tower Of Heaven (You Are Slaves) [Hyper],HDDT,3.759085963444364,27.606075231502437
VINXIS - Sidetracked Day [Daydream],DT,5.400899560324568,32.911314254487394
C-Show - On the FM [Unlimit's Extra],HDHR,5.308745950747046,25.2473070315571
*namirin - Koi no Hime Hime Pettanko [Extra],NM,5.359050959395376,31.323802324744022
Metrik - Freefall VIP (feat. Reija Lee) [Exote's Light Insane],HDDT,4.41848892921732,27.154877432742406
Hommarju feat. Latte - masterpiece [Insane],EZ,4.687747321591836,29.04741239070292
"Imperial Circus Dead Decadence - Yomi yori Kikoyu, Koukoku no Tou to Honoo no Shoujo. [Reverberation]",NM,6.8099895259797405,28.662170175935447
Camellia - ATTACK FROM MANDRAKE [PANTS WRESTLING],NM,5.557593055844411,31.734747371258987
Kraken - Do it!! Do it!! [rustbell's AnotheR],HD,6.515188007079337,31.523416192107362
ZUN - Heian no Alien [defiance's Lunatic],DT,4.676600684118372,25.710326893851608
Imperial Circus Dead Decadence - Gekiai No Yobigoe Ga Dekiai No Sakebigoe Wo Kurau [Blindness and Tragedy],NM,7.648207164150497,38.23517684306654
Luze - HERA (LONG Version) [Parthenos],NM,6.525113582596728,37.79712860995332
3 Nen E Gumi Utatan - Jiriki Hongan Revolution (TV Size) [Target On!],NM,5.319385999201046,27.450426815196778
kakichoco - Zan'ei [Illusion],NM,5.578497392458393,35.76695016070414
Helblinde - C204 [#BLAMEPACEMAKER2k15],NM,7.817590918459443,29.319997809762892
Stonebank - Stronger (feat. EMEL) [Mao x Sotarks' Power],NM,5.135665488832015,27.682603811505917
Various Artists - Square Jump Practice Maps [200BPM t+pazolite_cheatreal GO TO HELL  AR10],HDNF,7.305213252399627,38.6544515269231
Kawada Mami - Wings of Courage -Sora o Koete- [Insane],DT,4.400260765754614,29.964965426250526
TwoThirds & Feint - Epiphany (feat. Veela) [Revelation],HDHR,5.473592183693293,38.51573723671811
Mindless Self Indulgence - 3 S' [Normal],NM,2.533505895834605,22.568757975214474
yuikonnu & CHiCO with HoneyWorks - Ai no Scenario [Insane],NM,4.927994926283095,26.431568423113543
Kano - Walk This Way! [Ultra],NM,8.030921658212621,25.025277508773186
Wolpis Kater - Oxalis [Wizllia],NM,8.693475076908474,32.29295053370087
Chikamori Kayako - Kigurumi Sungeki [Djulus' Insane],HD,4.348017216824144,28.1210790580586
DragonForce - Symphony of the Night [Legend],NM,6.138725592674422,50.879784548236245
MC Mental - MC Mental at His Best [Extra],NM,5.674897889272534,38.03738243777909
xi - Blue Zenith [ktgster's Extreme],NM,6.483744819739866,51.91308649475674
Serenity - Lionheart [Expert],NF,5.709619029031604,51.261969692533626
Yuaru - Asu no Yozora Shoukaihan [Sky Arrow],NM,6.124863922830319,35.372275792237836
Will Stetson - First Storm -Japanese Version- [thanks for singing Brother],HD,6.647249763373151,41.2153790264936
Raphlesia & BilliumMoto - My Love [Our Love],NM,5.891769877652779,31.922801684086117
S3RL - Bass Slut (Original Mix) [Taeyang's Trashy Extreme],NM,5.877945424981087,23.29197057663103
-45 - Shoujo-tachi no Majogari [Accusation],HD,5.000479423073902,34.46721565404211
DragonForce - My Heart Will Go On [Extra],NF,6.613374367266372,52.827620584229564
Camellia - Wolves Standing Towards Enemies [Insane],NM,4.834836075556974,31.730158610877705
nonet - Now On Stage!! [Let's Dance!!],HDDT,5.6917212190538455,25.38879076364501
Miraie - Gucci Gucci Literature Club's Not Hot (ft. Monika) [Ultimate Cancer],NM,7.646767982310301,29.983339710294906
PUP - DVP [debug],NM,7.399657408291427,24.201207328560226
Teminite & MDK - Space Invaders [Evgerable's Ultimate Massacre],NM,7.049565047901465,21.692121103388402
Kaneko Chiharu - Lachryma<Re:Queen'M> [Alheak's INFINITE],NM,6.406629255893823,33.18557991107497
bbno$ & Rich Brian - edamame [thexo's insane],HDNFV2,4.206387407114706,26.396419266721416
Taio Cruz - Telling The World [Insane],DT,3.8733458251768047,23.013707420402657
katagiri - Sendan Life (katagiri Bootleg) [Restore the World],HR,8.916359187483026,31.285513254308945
S3RL - Bass Slut (Original Mix) [Reform's Filthy Expert],HD,5.296457514911882,24.56043490500126
DJ Okawari - Flower Dance (Short Ver.) [Dance],DT,6.01327390016996,38.41578296767582
Laur - Sound Chimera [KoToreley's Echidna],NM,6.076582415183047,26.08953303639058
Masayuki Suzuki - DADDY ! DADDY ! DO ! feat. Airi Suzuki (TV Size) [MOMMY !],HDDT,4.518814981336482,22.05382687085765
DM DOKURO - SAVE (Encore) [Reform's Extra],NM,5.341759163776295,23.63627727096523
Yooh - snow storm -euphoria- [INFINITE],NM,5.3720659580351535,40.3663737366186
Boney.M - Ra Ra Rasputin [Chronological Nightmare],NM,5.334168902426897,41.21493500463457
Batashi - Smag Slow [starry night sky],NM,6.201801157521333,32.0088487730941
"Imperial Circus Dead Decadence - Fusyoku ressentiment, fushiyoku no sarugakuza. [Edgy Difficulty Name]",NF,8.328212143746835,27.016229910714156
"Imperial Circus Dead Decadence - Yomi yori Kikoyu, Koukoku no Tou to Honoo no Shoujo. [Kurushimi]",HDNF,8.22540175961293,43.111976103434316
midwxst - Smile (feat. glaive) [Emotions],HR,5.987215596903355,30.71136669869159
KanoeRana - 1/2 [aishiteru],NM,7.312078548016142,27.561067829349646
dj TAKA - quaver [Crescendo],NM,7.40396080790833,34.24052361291011
MisoilePunch ~Takenoko Soe~ - Staring at star [Etoile light],HTNF,10.276371185459762,41.050718261004604
Camellia - Z:iRNiTRA [X:tREmE],NM,7.935765044293994,40.40693119945155
IOSYS - Boukyaku no Ame [Lunatic],HDDT,4.097534359942385,28.56768846153461
VINXIS - Sidetracked Day [Infinity Inside],NM,6.826959658616813,34.33058137683908
GALNERYUS - RAISE MY SWORD [A THOUSAND FLAMES],NM,7.509694592036785,49.58254851807678
Niji no Conquistador - Zutto Summer de Koishiteru [Summer Love],NM,7.996370516374573,29.33405509983986
That Poppy - Altar [GranD's Ashi],NM,9.326506949193584,33.37560374463493
Camellia ft. Yukacco - Be Wild [Wild Eagle],NM,5.36499384296952,26.68757838732771
Bu Shi Hua Huo Ya - Yun Luo [moonlightleaf's Hard],HDDTFL,2.882009559502131,19.644008691477246
Shoji Meguro - Kimi no Kioku (Aethral Remix) [Remembrance],HD,5.25817665559076,26.297891126955285
xi - Ascension to Heaven [Death],NM,5.783213790269681,60.648367196062196
ATL - Magic people [Maruoko's Extra],NM,5.714078260435611,23.265674776480175
Hanasaka Yui (CV: M.A.O) - Harumachi Clover (NAGI vs 14 Remix) [Naorumirchi Clover],HD,5.709726900299982,37.43596171298575
GLORYHAMMER - Rise Of The Chaos Wizards [Massive Legend],NF,5.354980863735075,49.441061125613366
Hana - Shuumatsu no Bishou [Through the Looking Glass],DT,4.972727140130239,35.30332203080616
Fleshgod Apocalypse - The Deceit / The Violation [pishi's Extra],NM,6.693916634467275,40.52750250982206
Xanthochroid - In Putris Stagnum [Neverending],EZ,7.615721168663508,37.5293278879953
Inferi - Those Who from the Heavens Came [Fengshen Yanyi],HTNF,7.720248693624475,39.13289343218851
Carly Rae Jepsen - I Really Like You [Insane],NM,3.701861448716679,21.565031321345348
DJ Okawari - Flower Dance (Short Ver.) [Auto],NM,7.007442250821903,32.25399416864413
xi - Ascension to Heaven [Extra],NM,5.638513605330002,47.148336328362944
yanaginagi - Haru Modoki [Spring],HD,5.039601639561471,28.744703713498755
Sirius Chord - Drastic Melody (Game Ver.) [dahkjdas' MASTER+],NM,5.975413990920878,29.46775632096543
Kondo Koji - Slider [64 DIMENSIONS],HR,6.984579506030912,45.768528512459234
Project Grimoire - Excalibur ~Revived resolution~ [LEGENDARY SWORD],HDHR,6.3648665390381485,50.12653606106017
04 Limited Sazabys - Squall [Expert],HD,6.111866165293201,38.76651701631341
At the Garret x Kekkan Orgel - Kanojo Kaku Katariki [Eloquence],NM,5.59572945119289,27.766147548931457
EMILIA (CV: Rie Takahashi) | Jun Kuroda - Stay Alive (Jun Kuroda Bootleg Remix) [Alone in the Absence of Light],NM,5.853188647390044,34.248155079422546
LIDA x FRIK PATI - Emo Hardcore [Log Off Now's Another],NM,4.8649204749519255,32.53451046118688
Wagakki Band - Tengaku [Uncompressed Fury of a Raging Japanese God],NF,7.812080742335351,36.607543408547805
supercell - Kimi no Shiranai Monogatari [Celestial],DT,4.972125932535376,31.600776669974422
Wakeshima Kanon - Tsukinami [Nostalgia],HD,6.14668942876174,31.318990141668365
Nekomata Master feat. Shimotsuki Haruka - Element of SPADA [Another],DT,4.053565643873653,24.026480598592002
SCREEN mode - Reason Living (TV Size) [Nevo's Insane],NM,4.7796250038465065,31.447601512036137
YUC'e - Future Candy [Hard],NM,3.30008314700974,20.157860307392582
Geri Halliwell - It's Raining Men [Kuki's Got News For You!],NM,7.22170888409541,36.8850447916229
Petit Rabbit's - No Poi! [Rabbit House],HDDT,4.588067586520683,31.558419430966946
Demetori - Solar Sect of Mystic Wisdom ~ Nuclear Fusion [Lunatic],NM,4.683427852650761,32.69841772691351
Ryu* - Sakura Mirage (STARLiGHT Mix) [Azzedd's Extra],NM,5.783904890861478,39.14039364229161
Sirius Chord - Drastic Melody (Game Ver.) [dahkjdas' MASTER+],NM,5.975413990920878,29.46775632096543
"AliA - Kakurenbo [Ready, Set, Go!]",NM,6.0970194244842,29.671155681594023
DUSTCELL - STIGMA [EX],NM,6.130778031265126,34.93561010589788
umu. - humanly [MirashMyMommy Collab],NM,7.189572837494032,36.032072450577644
mimimemeMIMI - Harebare Fanfare [Hazu's Insane],HDDT,4.427604692807332,23.703000335732987
halca - Sentimental Crisis (TV Size) [<3],NM,4.902057387396038,33.57169078904363
Memme - Plasma Gun [Extreme],EZHD,6.457730435923303,42.53273938939425
ThreeA - Attack of the Pinoy Pride [jrcis08's Insane],NF,5.634397068942974,26.102972087096298
sabi - true DJ MAG top ranker's song Zenpen (katagiri Remix) [KEMOMIMI EDM SQUAD],NM,6.813508032522623,31.669269513889773
Tatsh - IMAGE -MATERIAL- <Version 0> [Scorpiour],NM,7.01676916498078,29.77130230132998
Chikamori Kayako - Kigurumi Sungeki [La~ La La ~~ La La La. La. La.],HD,7.796994437900775,32.29277004966866
Caravan Palace - Plume [I'll take you to the sun],NM,6.172067474591736,30.95335587214297
SPYAIR - I'M A BELIEVER [Xexxar's Extreme],NM,6.292026619665662,28.73301160259568
