replay_idx,username,beatmap_name,mod_str,nm_stars,count_300,count_100,count_50,count_miss,likelihood
0,Accolibed,VINXIS - Sidetracked Day [Infinity Inside],HDDT,6.826959658617009,1608,84,0,0,71.14155817429157
1,Accolibed,DragonForce - Valley of the Damned [Apocalypse],DT,6.15556253213743,2126,22,0,0,148.59067527275127
3,Accolibed,Xi - Shoujo Kisoukyoku ~ Speed Battle [Extra Stage],HDDT,6.0060237499856495,1258,49,0,0,63.366433492521374
4,Accolibed,Apocalyptica - Reign of Fear [VI],DT,6.234474050379725,1503,82,1,1,94.04317095417422
5,aetrna,xi - Ascension to Heaven [Death],HDDTHR,5.783212956609665,805,46,0,0,90.88289593936801
6,aetrna,07th Expansion - rog-unlimitation [AngelHoney],HDDTHR,6.118187281813472,561,48,0,0,81.74952500299558
7,aetrna,Mage - The Words I Never Said [Regret],HDDT,5.753690977912469,1713,29,0,0,88.69426359914681
8,aetrna,yuikonnu - Chikyuu Saigo no Kokuhaku o [Longing],HDDT,5.784914626961346,1110,7,0,0,88.45669590224458
9,aetrna,44teru-k - F.I [Insane],HDDTHR,5.2694574975269655,647,20,0,0,50.616841773152146
10,Benthonic,Charlie Clouser - Hello Zepp [Twist],HDDT,4.619498868346137,399,4,0,0,24.539130460421532
11,Benthonic,Bruno Mars - Marry You [Insane],HDDT,3.810628356675648,762,0,0,0,23.762849534754146
12,BlackDog5,Bliitzit - Team Magma & Aqua Leader Battle Theme (Unofficial) [Catastrophe],HDDTHR,6.413247155083175,308,8,0,0,18.707436879657916
13,BlackDog5,SPYAIR - Imagination (TV Size) [Ambition],HDDTHR,6.54533179531643,325,8,0,0,17.070442471874834
14,BlackDog5,Nogizaka46 - Yubi Bouenkyou (TV Size) [Fate],HDNCHR,6.51284444515977,330,7,0,0,22.47059245556433
15,BlackDog5,Yamajet feat. Hiura Masako - Sunglow [Harmony],HDDT,6.240666656709768,1153,3,0,0,42.60428743466128
16,BlackDog5,Release Hallucination - Chronostasis [A Brilliant Petal Frozen in an Everlasting Moment],HR,8.82397578927547,2663,26,0,2,84.3811966256945
17,Chicony,Yuaru - Asu no Yozora Shoukaihan [Sky Arrow],HDDT,6.124384974284987,902,7,2,0,70.96786605035564
18,Chicony,Kano - Stella-rium (Asterisk MAKINA Remix) [Starlight],DT,6.0565574778888145,1581,16,1,2,108.85990398565019
19,Chicony,Nekomata Master+ - encounter [Kotori's Extreme],HDDT,5.906863331280942,667,42,1,1,77.23955774002118
20,Chicony,positive MAD-crew - Mynarco [Withdrawals],HDDT,6.017460103820915,656,24,0,0,61.00194973017997
21,Chicony,Kano - Prima Stella [Caged],HDDT,6.247207713706941,1198,18,0,0,63.73071377454653
22,chocomint,Demetori - Shinkou wa Hakanaki Ningen no Tame ni ~ Jehovah's YaHVeH [Camo & Winter's Extra Stage],HDHR,7.779938707614659,2485,14,0,2,78.8543894613696
23,chocomint,xi - FREEDOM DiVE [ENDLESS DiMENSiONS],HDHR,7.454186195308175,2001,6,0,2,67.3990582639563
24,chocomint,BABYMETAL - Arkadia [Fighting on the Road of Arkadia's Tragic Tale],HD,8.067626129110469,2275,5,0,0,81.20903821487522
26,chocomint,Release Hallucination - I.F. [My Loneliness Grows as the Moment of Farewell Surrounds Us],HD,7.690060818318684,2547,16,0,0,77.49034187055537
27,enri,Kano - Prima Stella [Caged],HDDT,6.247207713706941,1203,13,0,0,64.34041478527959
28,enri,Serenity - Lionheart [Expert],HDDTSD,5.709158922628413,1324,31,0,0,66.71848465468616
29,enri,ke-ji feat. Nanahira - Ange du Blanc Pur [Extra],HDNC,5.8361348280156475,1031,13,0,0,70.14128408974928
30,enri,KISIDA KYODAN & THE AKEBOSI ROCKETS - Shitteru? Madousho wa Donki ni mo Naru no yo [shitteru?],HDDT,6.414639219593065,410,6,0,0,44.89398477216693
31,enri,Silver Forest - Yami no Mahou Shoujo [Extra],HDDT,5.672834386680964,777,24,0,0,92.7753675742506
32,epic gaming,VINXIS - Sidetracked Day (Short Ver.) [A r M i N's Extra],HDNCHR,5.55120420552228,586,15,0,0,32.874906897424154
33,epic gaming,Mutsuhiko Izumi - Snow Goose [Extra],HDNCHRSO,5.7307517369258125,623,33,2,0,56.06757646457464
34,epic gaming,Silver Forest - Yami no Mahou Shoujo [Extra],HDDT,5.672834386680964,786,14,0,1,93.39664947237812
35,epic gaming,THE ORAL CIGARETTES - 5150 [Sotarks' Cataclysm],HDNC,6.575078620333015,502,10,0,0,70.61765907930295
36,epic gaming,OxT - Clattanoia (TV Size) [KUKI'S EXTREME],HDDT,6.552007233198205,420,10,1,0,63.42382392375699
37,-Flary,Twilight Force - Dawn of the Dragonstar [Maki's Expert],HDNC,5.81373895249315,1538,25,0,0,69.00017548349851
38,-Flary,Leah Kate - 10 Things I Hate About You (Sped Up & Cut Ver.) [Mommy Issues],HDDTHR,5.964468509493666,448,23,0,0,53.90650235907515
39,-Flary,Fellowship - Glory Days [Maki's Extra],HDNC,5.634296851954216,1644,32,0,0,72.09972324822442
40,-Flary,Serenity - Lionheart [Expert],HDNC,5.709158922628413,1340,14,1,0,66.62221204188526
41,-Flary,Leah Kate - Life Sux (Sped Up Ver.) [Mommy Sucks],HDNC,6.287624048494708,727,16,0,0,84.5071694560639
42,Freddie Benson,Kano - Stella-rium (Asterisk MAKINA Remix) [Starlight],HDDT,6.0565574778888145,1583,17,0,0,93.41061072459817
43,Freddie Benson,Kano - Dear Brave [Valor],HDDT,6.511637310255804,983,13,0,0,52.69075398049114
44,Freddie Benson,Our Stolen Theory - United (L.A.O.S Remix) [Eternity],NC,5.9312485753963795,1635,49,0,0,116.49861694083651
45,Freddie Benson,Nogizaka46 - Yubi Bouenkyou (TV Size) [Fate],HDDTHR,6.51284444515977,331,5,0,1,22.257923680263826
46,Freddie Benson,Loki - Wizard's Tower [Ultimate Magic],HDNC,6.287242946720037,671,10,0,0,54.086389711318574
47,gnahus,Mio Yamazaki - Noise (English ver.) [Extreme],HDDT,6.8694394056793735,665,12,0,1,42.76733463382021
48,gnahus,SPYAIR - Imagination (TV Size) [Ambition],HDDTHR,6.54533179531643,332,1,0,0,17.25384351836647
49,gnahus,Maneki Kecak - Atashi no Nokori Zenbu Ageru [Daydream],HDDT,6.551945127225527,1408,24,0,2,85.21582831749065
50,gnahus,Centimillimental - Bokura dake no Shudaika [There's no turning back],HDDT,6.450304842057545,1190,15,0,0,68.56435724374711
51,gnahus,Rika (CV: Tamura Yukari) & Satoko (CV: Kanai Mika) & Hanyuu (CV: Horie Yui) - Happy! Lucky! Dochy! (TV Size) [1-2-3],HDDT,6.996275869467044,385,7,0,0,31.140582622090193
52,lifeline,Sleeping With Sirens - If You Can't Hang [Bearizm's Extreme],HDDT,6.71395667993162,1093,20,5,0,82.7289408091884
53,lifeline,LilDeuceDeuce - EVERYBODY DO THE FLOP [WhiteFloppable],HDDT,7.006119590075432,688,11,1,0,56.988732993220275
54,lifeline,FELT - New World [Illusion],HDDT,6.0188434668634,1117,47,1,0,69.43656675133047
55,lifeline,THE ORAL CIGARETTES - Mou Ii kai? [Nevo's Rain],HDDT,6.651641176609672,786,42,0,0,86.07463522916971
56,lifeline,Poppin'Party - KIZUNA MUSIC [Trust],HDDT,6.477941160282513,1298,22,0,0,82.90494369025191
57,maliszewski,DragonForce - Astral Empire [Break of Dawn],HD,8.627843851082256,2492,29,0,0,110.10618070959815
58,maliszewski,Various Artists - Songs Compilation IV [Marathon],HDDT,6.067638796818937,1824,22,1,0,72.11042202172781
59,maliszewski,Yamajet feat. Hiura Masako - Sunglow [Harmony],HDNC,6.240666656709768,1151,5,0,0,42.457920245389644
